"filename", "language", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "HTML", "TypeScript JSX", "PostCSS", "Markdown", "C#", "XML", "comment", "blank", "total"
"c:\Users\maxve\repos\filmvisarna-ab\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\maxve\repos\filmvisarna-ab\backend\Backend.csproj", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 4, 18
"c:\Users\maxve\repos\filmvisarna-ab\backend\GlobalSuppressions.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 5, 4, 11
"c:\Users\maxve\repos\filmvisarna-ab\backend\Properties\launchSettings.json", "JSON", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37
"c:\Users\maxve\repos\filmvisarna-ab\backend\appsettings.Development.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\maxve\repos\filmvisarna-ab\backend\appsettings.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\maxve\repos\filmvisarna-ab\backend\index.js", "JavaScript", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 10, 13, 77
"c:\Users\maxve\repos\filmvisarna-ab\backend\src\Acl.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 14, 9, 92
"c:\Users\maxve\repos\filmvisarna-ab\backend\src\App.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 1, 14
"c:\Users\maxve\repos\filmvisarna-ab\backend\src\DbQuery.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 578, 0, 40, 56, 674
"c:\Users\maxve\repos\filmvisarna-ab\backend\src\DebugLog.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 7, 5, 76
"c:\Users\maxve\repos\filmvisarna-ab\backend\src\EmailService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 15, 6, 54
"c:\Users\maxve\repos\filmvisarna-ab\backend\src\ErrorHandler.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 2, 0, 20
"c:\Users\maxve\repos\filmvisarna-ab\backend\src\FileServer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 7, 6, 78
"c:\Users\maxve\repos\filmvisarna-ab\backend\src\GlobalUsings.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 3, 2, 18
"c:\Users\maxve\repos\filmvisarna-ab\backend\src\LoginRoutes.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 6, 10, 71
"c:\Users\maxve\repos\filmvisarna-ab\backend\src\Password.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"c:\Users\maxve\repos\filmvisarna-ab\backend\src\RequestBodyParser.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 4, 0, 26
"c:\Users\maxve\repos\filmvisarna-ab\backend\src\RestApi.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 1, 5, 75
"c:\Users\maxve\repos\filmvisarna-ab\backend\src\RestQuery.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 18, 8, 109
"c:\Users\maxve\repos\filmvisarna-ab\backend\src\RestResult.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 8, 3, 54
"c:\Users\maxve\repos\filmvisarna-ab\backend\src\Server.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 7, 1, 63
"c:\Users\maxve\repos\filmvisarna-ab\backend\src\Session.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 115, 0, 19, 22, 156
"c:\Users\maxve\repos\filmvisarna-ab\backend\src\SessionTouch.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 3, 1, 28
"c:\Users\maxve\repos\filmvisarna-ab\backend\src\Shared.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 4, 5, 44
"c:\Users\maxve\repos\filmvisarna-ab\backend\src\SpecialRoutes.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 5, 37, 166
"c:\Users\maxve\repos\filmvisarna-ab\backend\src\StringUtils.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 8, 9, 57
"c:\Users\maxve\repos\filmvisarna-ab\eslint.config.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\maxve\repos\filmvisarna-ab\index.html", "HTML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\maxve\repos\filmvisarna-ab\package-lock.json", "JSON", 0, 0, 6396, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6396
"c:\Users\maxve\repos\filmvisarna-ab\package.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55
"c:\Users\maxve\repos\filmvisarna-ab\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 2, 5, 39
"c:\Users\maxve\repos\filmvisarna-ab\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 3, 3, 25
"c:\Users\maxve\repos\filmvisarna-ab\src\interfaces\BookingCardInfo.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\maxve\repos\filmvisarna-ab\src\interfaces\BookingInfo.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\maxve\repos\filmvisarna-ab\src\interfaces\MovieDetails.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\maxve\repos\filmvisarna-ab\src\interfaces\MovieShowings.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\maxve\repos\filmvisarna-ab\src\interfaces\Products.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\maxve\repos\filmvisarna-ab\src\interfaces\Route.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\maxve\repos\filmvisarna-ab\src\interfaces\Seats.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\maxve\repos\filmvisarna-ab\src\interfaces\ShowingSeats.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\maxve\repos\filmvisarna-ab\src\interfaces\UserBooking.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\maxve\repos\filmvisarna-ab\src\interfaces\UserDetails.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\maxve\repos\filmvisarna-ab\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 2, 3, 27
"c:\Users\maxve\repos\filmvisarna-ab\src\pages\AuthProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 2, 8, 47
"c:\Users\maxve\repos\filmvisarna-ab\src\pages\BookingConfirmationPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 13, 175
"c:\Users\maxve\repos\filmvisarna-ab\src\pages\CancelBookingPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 250, 0, 0, 0, 0, 16, 29, 295
"c:\Users\maxve\repos\filmvisarna-ab\src\pages\DesktopShowingsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 213, 0, 0, 0, 0, 2, 9, 224
"c:\Users\maxve\repos\filmvisarna-ab\src\pages\HomePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 153, 0, 0, 0, 0, 1, 7, 161
"c:\Users\maxve\repos\filmvisarna-ab\src\pages\KioskPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 9, 54
"c:\Users\maxve\repos\filmvisarna-ab\src\pages\LocaleDetailsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\maxve\repos\filmvisarna-ab\src\pages\LoginPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 309, 0, 0, 0, 0, 26, 29, 364
"c:\Users\maxve\repos\filmvisarna-ab\src\pages\MobileShowingsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 239, 0, 0, 0, 0, 2, 7, 248
"c:\Users\maxve\repos\filmvisarna-ab\src\pages\NotFoundPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 4, 41
"c:\Users\maxve\repos\filmvisarna-ab\src\pages\ProfilePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 8, 12, 109
"c:\Users\maxve\repos\filmvisarna-ab\src\pages\SeatSelectionPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 465, 0, 0, 0, 0, 49, 45, 559
"c:\Users\maxve\repos\filmvisarna-ab\src\pages\ShowingsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 7, 10, 114
"c:\Users\maxve\repos\filmvisarna-ab\src\partials\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 3, 58
"c:\Users\maxve\repos\filmvisarna-ab\src\partials\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 6, 8, 68
"c:\Users\maxve\repos\filmvisarna-ab\src\partials\Main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
